##PopulationSize=1000:NumGeneration=500:Replicates=1:MutationRate=1e-09:RelativeFitness=2.00000
Gen	Site	Freq.A	Freq.C	Freq.G	Freq.T	Ancestral
78	0	0.00000	0.38700	0.53300	0.08000	A
79	0	0.00000	0.37800	0.53400	0.08800	A
80	0	0.00000	0.36500	0.55200	0.08300	A
81	0	0.00000	0.34600	0.57600	0.07800	A
82	0	0.00000	0.36000	0.56800	0.07200	A
83	0	0.00000	0.40500	0.53300	0.06200	A
84	0	0.00000	0.41900	0.51500	0.06600	A
85	0	0.00000	0.40900	0.52600	0.06500	A
86	0	0.00000	0.38700	0.53900	0.07400	A
87	0	0.00000	0.40900	0.51600	0.07500	A
88	0	0.00000	0.39600	0.52900	0.07500	A
89	0	0.00000	0.40400	0.51300	0.08300	A
90	0	0.00000	0.40000	0.51400	0.08600	A
91	0	0.00000	0.39700	0.52300	0.08000	A
92	0	0.00000	0.40300	0.50800	0.08900	A
93	0	0.00000	0.41800	0.48900	0.09300	A
94	0	0.00000	0.43800	0.48500	0.07700	A
95	0	0.00000	0.43300	0.49200	0.07500	A
96	0	0.00000	0.42300	0.50300	0.07400	A
97	0	0.00000	0.43600	0.48000	0.08400	A
98	0	0.00000	0.41500	0.50600	0.07900	A
99	0	0.00000	0.40000	0.51900	0.08100	A
100	0	0.00000	0.38000	0.52200	0.09800	A
101	0	0.00000	0.42000	0.50100	0.07900	A
102	0	0.00000	0.40400	0.51500	0.08100	A
103	0	0.00000	0.39500	0.54300	0.06200	A
104	0	0.00000	0.36900	0.56400	0.06700	A
105	0	0.00000	0.35500	0.57700	0.06800	A
106	0	0.00000	0.35000	0.58500	0.06500	A
107	0	0.00000	0.35500	0.59500	0.05000	A
108	0	0.00000	0.34900	0.60800	0.04300	A
109	0	0.00000	0.37300	0.57800	0.04900	A
110	0	0.00000	0.36900	0.58500	0.04600	A
111	0	0.00000	0.37300	0.57500	0.05200	A
112	0	0.00000	0.37300	0.57800	0.04900	A
113	0	0.00000	0.38500	0.57200	0.04300	A
114	0	0.00000	0.37700	0.58500	0.03800	A
115	0	0.00000	0.37800	0.58700	0.03500	A
116	0	0.00000	0.39100	0.57900	0.03000	A
117	0	0.00000	0.37300	0.60200	0.02500	A
118	0	0.00000	0.39700	0.56900	0.03400	A
119	0	0.00000	0.39100	0.57500	0.03400	A
120	0	0.00000	0.38000	0.58700	0.03300	A
121	0	0.00000	0.36900	0.60000	0.03100	A
122	0	0.00000	0.39000	0.57400	0.03600	A
123	0	0.00000	0.39100	0.57500	0.03400	A
124	0	0.00000	0.40100	0.55600	0.04300	A
125	0	0.00000	0.42300	0.54700	0.03000	A
126	0	0.00000	0.44300	0.52100	0.03600	A
127	0	0.00000	0.45200	0.51300	0.03500	A
128	0	0.00000	0.46800	0.50400	0.02800	A
129	0	0.00000	0.49200	0.48600	0.02200	A
130	0	0.00000	0.47300	0.50800	0.01900	A
131	0	0.00000	0.47900	0.50400	0.01700	A
132	0	0.00000	0.47100	0.51100	0.01800	A
133	0	0.00000	0.47200	0.50400	0.02400	A
134	0	0.00000	0.48400	0.49200	0.02400	A
135	0	0.00000	0.45300	0.51900	0.02800	A
136	0	0.00000	0.44600	0.53000	0.02400	A
137	0	0.00000	0.46900	0.50600	0.02500	A
138	0	0.00000	0.49300	0.48700	0.02000	A
139	0	0.00000	0.49700	0.48600	0.01700	A
140	0	0.00000	0.50300	0.48300	0.01400	A
141	0	0.00000	0.49600	0.49200	0.01200	A
142	0	0.00000	0.48900	0.50700	0.00400	A
143	0	0.00000	0.48700	0.50900	0.00400	A
144	0	0.00000	0.47300	0.52600	0.00100	A
145	0	0.00000	0.48700	0.51200	0.00100	A
146	0	0.00000	0.48200	0.51800	0.00000	A
147	0	0.00000	0.51100	0.48900	0.00000	A
148	0	0.00000	0.52300	0.47700	0.00000	A
149	0	0.00000	0.52500	0.47500	0.00000	A
150	0	0.00000	0.51300	0.48700	0.00000	A
151	0	0.00000	0.52000	0.48000	0.00000	A
152	0	0.00000	0.52000	0.48000	0.00000	A
153	0	0.00000	0.48700	0.51300	0.00000	A
154	0	0.00000	0.51400	0.48600	0.00000	A
155	0	0.00000	0.50800	0.49200	0.00000	A
156	0	0.00000	0.50200	0.49800	0.00000	A
157	0	0.00000	0.50700	0.49300	0.00000	A
158	0	0.00000	0.50900	0.49100	0.00000	A
159	0	0.00000	0.52600	0.47400	0.00000	A
160	0	0.00000	0.52500	0.47500	0.00000	A
161	0	0.00000	0.52700	0.47300	0.00000	A
162	0	0.00000	0.53800	0.46200	0.00000	A
163	0	0.00000	0.54200	0.45800	0.00000	A
164	0	0.00000	0.55000	0.45000	0.00000	A
165	0	0.00000	0.54200	0.45800	0.00000	A
166	0	0.00000	0.54400	0.45600	0.00000	A
167	0	0.00000	0.52800	0.47200	0.00000	A
168	0	0.00000	0.52600	0.47400	0.00000	A
169	0	0.00000	0.53000	0.47000	0.00000	A
170	0	0.00000	0.53500	0.46500	0.00000	A
171	0	0.00000	0.55000	0.45000	0.00000	A
172	0	0.00000	0.56300	0.43700	0.00000	A
173	0	0.00000	0.57900	0.42100	0.00000	A
174	0	0.00000	0.57300	0.42700	0.00000	A
175	0	0.00000	0.57600	0.42400	0.00000	A
176	0	0.00000	0.57200	0.42800	0.00000	A
177	0	0.00000	0.60600	0.39400	0.00000	A
178	0	0.00000	0.61000	0.39000	0.00000	A
179	0	0.00000	0.58800	0.41200	0.00000	A
180	0	0.00000	0.58400	0.41600	0.00000	A
181	0	0.00000	0.60300	0.39700	0.00000	A
182	0	0.00000	0.59200	0.40800	0.00000	A
183	0	0.00000	0.57900	0.42100	0.00000	A
184	0	0.00000	0.60000	0.40000	0.00000	A
185	0	0.00000	0.59800	0.40200	0.00000	A
186	0	0.00000	0.58700	0.41300	0.00000	A
187	0	0.00000	0.57200	0.42800	0.00000	A
188	0	0.00000	0.55600	0.44400	0.00000	A
189	0	0.00000	0.55600	0.44400	0.00000	A
190	0	0.00000	0.55100	0.44900	0.00000	A
191	0	0.00000	0.54700	0.45300	0.00000	A
192	0	0.00000	0.54600	0.45400	0.00000	A
193	0	0.00000	0.53400	0.46600	0.00000	A
194	0	0.00000	0.55400	0.44600	0.00000	A
195	0	0.00000	0.57300	0.42700	0.00000	A
196	0	0.00000	0.56000	0.44000	0.00000	A
197	0	0.00000	0.55000	0.45000	0.00000	A
198	0	0.00000	0.55900	0.44100	0.00000	A
199	0	0.00000	0.57700	0.42300	0.00000	A
200	0	0.00000	0.58500	0.41500	0.00000	A
201	0	0.00000	0.61100	0.38900	0.00000	A
202	0	0.00000	0.60900	0.39100	0.00000	A
203	0	0.00000	0.63300	0.36700	0.00000	A
204	0	0.00000	0.59500	0.40500	0.00000	A
205	0	0.00000	0.60200	0.39800	0.00000	A
206	0	0.00000	0.61500	0.38500	0.00000	A
207	0	0.00000	0.60100	0.39900	0.00000	A
208	0	0.00000	0.61300	0.38700	0.00000	A
209	0	0.00000	0.60600	0.39400	0.00000	A
210	0	0.00000	0.61200	0.38800	0.00000	A
211	0	0.00000	0.61200	0.38800	0.00000	A
212	0	0.00000	0.61800	0.38200	0.00000	A
213	0	0.00000	0.61700	0.38300	0.00000	A
214	0	0.00000	0.62300	0.37700	0.00000	A
215	0	0.00000	0.61900	0.38100	0.00000	A
216	0	0.00000	0.61600	0.38400	0.00000	A
217	0	0.00000	0.61400	0.38600	0.00000	A
218	0	0.00000	0.58900	0.41100	0.00000	A
219	0	0.00000	0.55400	0.44600	0.00000	A
220	0	0.00000	0.56000	0.44000	0.00000	A
221	0	0.00000	0.54500	0.45500	0.00000	A
222	0	0.00000	0.51000	0.49000	0.00000	A
223	0	0.00000	0.50900	0.49100	0.00000	A
224	0	0.00000	0.50700	0.49300	0.00000	A
225	0	0.00000	0.51600	0.48400	0.00000	A
226	0	0.00000	0.52000	0.48000	0.00000	A
227	0	0.00000	0.52300	0.47700	0.00000	A
228	0	0.00000	0.52800	0.47200	0.00000	A
229	0	0.00000	0.51200	0.48800	0.00000	A
230	0	0.00000	0.50800	0.49200	0.00000	A
231	0	0.00000	0.52500	0.47500	0.00000	A
232	0	0.00000	0.54600	0.45400	0.00000	A
233	0	0.00000	0.53700	0.46300	0.00000	A
234	0	0.00000	0.55300	0.44700	0.00000	A
235	0	0.00000	0.54400	0.45600	0.00000	A
236	0	0.00000	0.54100	0.45900	0.00000	A
237	0	0.00000	0.55700	0.44300	0.00000	A
238	0	0.00000	0.56700	0.43300	0.00000	A
239	0	0.00000	0.59000	0.41000	0.00000	A
240	0	0.00000	0.58800	0.41200	0.00000	A
241	0	0.00000	0.61800	0.38200	0.00000	A
242	0	0.00000	0.61200	0.38800	0.00000	A
243	0	0.00000	0.60200	0.39800	0.00000	A
244	0	0.00000	0.61600	0.38400	0.00000	A
245	0	0.00000	0.63100	0.36900	0.00000	A
246	0	0.00000	0.63800	0.36200	0.00000	A
247	0	0.00000	0.64600	0.35400	0.00000	A
248	0	0.00000	0.65200	0.34800	0.00000	A
249	0	0.00000	0.63700	0.36300	0.00000	A
250	0	0.00000	0.64400	0.35600	0.00000	A
251	0	0.00000	0.66500	0.33500	0.00000	A
252	0	0.00000	0.67100	0.32900	0.00000	A
253	0	0.00000	0.66400	0.33600	0.00000	A
254	0	0.00000	0.64500	0.35500	0.00000	A
255	0	0.00000	0.68900	0.31100	0.00000	A
256	0	0.00000	0.69300	0.30700	0.00000	A
257	0	0.00000	0.69800	0.30200	0.00000	A
258	0	0.00000	0.70100	0.29900	0.00000	A
259	0	0.00000	0.68500	0.31500	0.00000	A
260	0	0.00000	0.68800	0.31200	0.00000	A
261	0	0.00000	0.68100	0.31900	0.00000	A
262	0	0.00000	0.70100	0.29900	0.00000	A
263	0	0.00000	0.69200	0.30800	0.00000	A
264	0	0.00000	0.67800	0.32200	0.00000	A
265	0	0.00000	0.70300	0.29700	0.00000	A
266	0	0.00000	0.71200	0.28800	0.00000	A
267	0	0.00000	0.72000	0.28000	0.00000	A
268	0	0.00000	0.68800	0.31200	0.00000	A
269	0	0.00000	0.68600	0.31400	0.00000	A
270	0	0.00000	0.67500	0.32500	0.00000	A
271	0	0.00000	0.68700	0.31300	0.00000	A
272	0	0.00000	0.71800	0.28200	0.00000	A
273	0	0.00000	0.73400	0.26600	0.00000	A
274	0	0.00000	0.72800	0.27200	0.00000	A
275	0	0.00000	0.71700	0.28300	0.00000	A
276	0	0.00000	0.72800	0.27200	0.00000	A
277	0	0.00000	0.73100	0.26900	0.00000	A
278	0	0.00000	0.73300	0.26700	0.00000	A
279	0	0.00000	0.74400	0.25600	0.00000	A
280	0	0.00000	0.72800	0.27200	0.00000	A
281	0	0.00000	0.71100	0.28900	0.00000	A
282	0	0.00000	0.70700	0.29300	0.00000	A
283	0	0.00000	0.70000	0.30000	0.00000	A
284	0	0.00000	0.70900	0.29100	0.00000	A
285	0	0.00000	0.72900	0.27100	0.00000	A
286	0	0.00000	0.74300	0.25700	0.00000	A
287	0	0.00000	0.75400	0.24600	0.00000	A
288	0	0.00000	0.74800	0.25200	0.00000	A
289	0	0.00000	0.73100	0.26900	0.00000	A
290	0	0.00000	0.72100	0.27900	0.00000	A
291	0	0.00000	0.71700	0.28300	0.00000	A
292	0	0.00000	0.72500	0.27500	0.00000	A
293	0	0.00000	0.72300	0.27700	0.00000	A
294	0	0.00000	0.71100	0.28900	0.00000	A
295	0	0.00000	0.71400	0.28600	0.00000	A
296	0	0.00000	0.73900	0.26100	0.00000	A
297	0	0.00000	0.71900	0.28100	0.00000	A
298	0	0.00000	0.73500	0.26500	0.00000	A
299	0	0.00000	0.72500	0.27500	0.00000	A
300	0	0.00000	0.71500	0.28500	0.00000	A
301	0	0.00000	0.70000	0.30000	0.00000	A
302	0	0.00000	0.69200	0.30800	0.00000	A
303	0	0.00000	0.68400	0.31600	0.00000	A
304	0	0.00000	0.69000	0.31000	0.00000	A
305	0	0.00000	0.69000	0.31000	0.00000	A
306	0	0.00000	0.68400	0.31600	0.00000	A
307	0	0.00000	0.69100	0.30900	0.00000	A
308	0	0.00000	0.71900	0.28100	0.00000	A
309	0	0.00000	0.69800	0.30200	0.00000	A
310	0	0.00000	0.70500	0.29500	0.00000	A
311	0	0.00000	0.71200	0.28800	0.00000	A
312	0	0.00000	0.74100	0.25900	0.00000	A
313	0	0.00000	0.72700	0.27300	0.00000	A
314	0	0.00000	0.74400	0.25600	0.00000	A
315	0	0.00000	0.74000	0.26000	0.00000	A
316	0	0.00000	0.75000	0.25000	0.00000	A
317	0	0.00000	0.74200	0.25800	0.00000	A
318	0	0.00000	0.71300	0.28700	0.00000	A
319	0	0.00000	0.72200	0.27800	0.00000	A
320	0	0.00000	0.73300	0.26700	0.00000	A
321	0	0.00000	0.75400	0.24600	0.00000	A
322	0	0.00000	0.76100	0.23900	0.00000	A
323	0	0.00000	0.77100	0.22900	0.00000	A
324	0	0.00000	0.77900	0.22100	0.00000	A
325	0	0.00000	0.78300	0.21700	0.00000	A
326	0	0.00000	0.77800	0.22200	0.00000	A
327	0	0.00000	0.79400	0.20600	0.00000	A
328	0	0.00000	0.79200	0.20800	0.00000	A
329	0	0.00000	0.77900	0.22100	0.00000	A
330	0	0.00000	0.76400	0.23600	0.00000	A
331	0	0.00000	0.77500	0.22500	0.00000	A
332	0	0.00000	0.77600	0.22400	0.00000	A
333	0	0.00000	0.79900	0.20100	0.00000	A
334	0	0.00000	0.81700	0.18300	0.00000	A
335	0	0.00000	0.80600	0.19400	0.00000	A
336	0	0.00000	0.78100	0.21900	0.00000	A
337	0	0.00000	0.79400	0.20600	0.00000	A
338	0	0.00000	0.81300	0.18700	0.00000	A
339	0	0.00000	0.81900	0.18100	0.00000	A
340	0	0.00000	0.80700	0.19300	0.00000	A
341	0	0.00000	0.81600	0.18400	0.00000	A
342	0	0.00000	0.81900	0.18100	0.00000	A
343	0	0.00000	0.80500	0.19500	0.00000	A
344	0	0.00000	0.81200	0.18800	0.00000	A
345	0	0.00000	0.81900	0.18100	0.00000	A
346	0	0.00000	0.81800	0.18200	0.00000	A
347	0	0.00000	0.79100	0.20900	0.00000	A
348	0	0.00000	0.78100	0.21900	0.00000	A
349	0	0.00000	0.80100	0.19900	0.00000	A
350	0	0.00000	0.80000	0.20000	0.00000	A
351	0	0.00000	0.82900	0.17100	0.00000	A
352	0	0.00000	0.83200	0.16800	0.00000	A
353	0	0.00000	0.83100	0.16900	0.00000	A
354	0	0.00000	0.84100	0.15900	0.00000	A
355	0	0.00000	0.84600	0.15400	0.00000	A
356	0	0.00000	0.82700	0.17300	0.00000	A
357	0	0.00000	0.83600	0.16400	0.00000	A
358	0	0.00000	0.84300	0.15700	0.00000	A
359	0	0.00000	0.86700	0.13300	0.00000	A
360	0	0.00000	0.87600	0.12400	0.00000	A
361	0	0.00000	0.88300	0.11700	0.00000	A
362	0	0.00000	0.88300	0.11700	0.00000	A
363	0	0.00000	0.87500	0.12500	0.00000	A
364	0	0.00000	0.87300	0.12700	0.00000	A
365	0	0.00000	0.88400	0.11600	0.00000	A
366	0	0.00000	0.89200	0.10800	0.00000	A
367	0	0.00000	0.89400	0.10600	0.00000	A
368	0	0.00000	0.89600	0.10400	0.00000	A
369	0	0.00000	0.89000	0.11000	0.00000	A
370	0	0.00000	0.89500	0.10500	0.00000	A
371	0	0.00000	0.90800	0.09200	0.00000	A
372	0	0.00000	0.92500	0.07500	0.00000	A
373	0	0.00000	0.92200	0.07800	0.00000	A
374	0	0.00000	0.92200	0.07800	0.00000	A
375	0	0.00000	0.92500	0.07500	0.00000	A
376	0	0.00000	0.91600	0.08400	0.00000	A
377	0	0.00000	0.92200	0.07800	0.00000	A
378	0	0.00000	0.91700	0.08300	0.00000	A
379	0	0.00000	0.93000	0.07000	0.00000	A
380	0	0.00000	0.93200	0.06800	0.00000	A
381	0	0.00000	0.93600	0.06400	0.00000	A
382	0	0.00000	0.95100	0.04900	0.00000	A
383	0	0.00000	0.95000	0.05000	0.00000	A
384	0	0.00000	0.94000	0.06000	0.00000	A
385	0	0.00000	0.93400	0.06600	0.00000	A
386	0	0.00000	0.94100	0.05900	0.00000	A
387	0	0.00000	0.93700	0.06300	0.00000	A
388	0	0.00000	0.94100	0.05900	0.00000	A
389	0	0.00000	0.93800	0.06200	0.00000	A
390	0	0.00000	0.95200	0.04800	0.00000	A
391	0	0.00000	0.94800	0.05200	0.00000	A
392	0	0.00000	0.95100	0.04900	0.00000	A
393	0	0.00000	0.95200	0.04800	0.00000	A
394	0	0.00000	0.93600	0.06400	0.00000	A
395	0	0.00000	0.94000	0.06000	0.00000	A
396	0	0.00000	0.94400	0.05600	0.00000	A
397	0	0.00000	0.93100	0.06900	0.00000	A
398	0	0.00000	0.93600	0.06400	0.00000	A
399	0	0.00000	0.94700	0.05300	0.00000	A
400	0	0.00000	0.93500	0.06500	0.00000	A
401	0	0.00000	0.94300	0.05700	0.00000	A
402	0	0.00000	0.94400	0.05600	0.00000	A
403	0	0.00000	0.94600	0.05400	0.00000	A
404	0	0.00000	0.94700	0.05300	0.00000	A
405	0	0.00000	0.94700	0.05300	0.00000	A
406	0	0.00000	0.95200	0.04800	0.00000	A
407	0	0.00000	0.95400	0.04600	0.00000	A
408	0	0.00000	0.94200	0.05800	0.00000	A
409	0	0.00000	0.94100	0.05900	0.00000	A
410	0	0.00000	0.95100	0.04900	0.00000	A
411	0	0.00000	0.95300	0.04700	0.00000	A
412	0	0.00000	0.94400	0.05600	0.00000	A
413	0	0.00000	0.95000	0.05000	0.00000	A
414	0	0.00000	0.94200	0.05800	0.00000	A
415	0	0.00000	0.93800	0.06200	0.00000	A
416	0	0.00000	0.92600	0.07400	0.00000	A
417	0	0.00000	0.92800	0.07200	0.00000	A
418	0	0.00000	0.93300	0.06700	0.00000	A
419	0	0.00000	0.93900	0.06100	0.00000	A
420	0	0.00000	0.93500	0.06500	0.00000	A
421	0	0.00000	0.93400	0.06600	0.00000	A
422	0	0.00000	0.94100	0.05900	0.00000	A
423	0	0.00000	0.93500	0.06500	0.00000	A
424	0	0.00000	0.94500	0.05500	0.00000	A
425	0	0.00000	0.94800	0.05200	0.00000	A
426	0	0.00000	0.94800	0.05200	0.00000	A
427	0	0.00000	0.94500	0.05500	0.00000	A
428	0	0.00000	0.95400	0.04600	0.00000	A
429	0	0.00000	0.95800	0.04200	0.00000	A
430	0	0.00000	0.96100	0.03900	0.00000	A
431	0	0.00000	0.96500	0.03500	0.00000	A
432	0	0.00000	0.96500	0.03500	0.00000	A
433	0	0.00000	0.96900	0.03100	0.00000	A
434	0	0.00000	0.98000	0.02000	0.00000	A
435	0	0.00000	0.98600	0.01400	0.00000	A
436	0	0.00000	0.98500	0.01500	0.00000	A
437	0	0.00000	0.98200	0.01800	0.00000	A
438	0	0.00000	0.98400	0.01600	0.00000	A
439	0	0.00000	0.98700	0.01300	0.00000	A
440	0	0.00000	0.98400	0.01600	0.00000	A
441	0	0.00000	0.98400	0.01600	0.00000	A
442	0	0.00000	0.98100	0.01900	0.00000	A
443	0	0.00000	0.98600	0.01400	0.00000	A
444	0	0.00000	0.99000	0.01000	0.00000	A
445	0	0.00000	0.99200	0.00800	0.00000	A
446	0	0.00000	0.99400	0.00600	0.00000	A
447	0	0.00000	0.99300	0.00700	0.00000	A
448	0	0.00000	0.99900	0.00100	0.00000	A
449	0	0.00000	0.99900	0.00100	0.00000	A
450	0	0.00000	1.00000	0.00000	0.00000	A
451	0	0.00000	1.00000	0.00000	0.00000	A
452	0	0.00000	1.00000	0.00000	0.00000	A
453	0	0.00000	1.00000	0.00000	0.00000	A
454	0	0.00000	1.00000	0.00000	0.00000	A
455	0	0.00000	1.00000	0.00000	0.00000	A
456	0	0.00000	1.00000	0.00000	0.00000	A
457	0	0.00000	1.00000	0.00000	0.00000	A
458	0	0.00000	1.00000	0.00000	0.00000	A
459	0	0.00000	1.00000	0.00000	0.00000	A
460	0	0.00000	1.00000	0.00000	0.00000	A
461	0	0.00000	1.00000	0.00000	0.00000	A
462	0	0.00000	1.00000	0.00000	0.00000	A
463	0	0.00000	1.00000	0.00000	0.00000	A
464	0	0.00000	1.00000	0.00000	0.00000	A
465	0	0.00000	1.00000	0.00000	0.00000	A
466	0	0.00000	1.00000	0.00000	0.00000	A
467	0	0.00000	1.00000	0.00000	0.00000	A
468	0	0.00000	1.00000	0.00000	0.00000	A
469	0	0.00000	1.00000	0.00000	0.00000	A
470	0	0.00000	1.00000	0.00000	0.00000	A
471	0	0.00000	1.00000	0.00000	0.00000	A
472	0	0.00000	1.00000	0.00000	0.00000	A
473	0	0.00000	1.00000	0.00000	0.00000	A
474	0	0.00000	1.00000	0.00000	0.00000	A
475	0	0.00000	1.00000	0.00000	0.00000	A
476	0	0.00000	1.00000	0.00000	0.00000	A
477	0	0.00000	1.00000	0.00000	0.00000	A
478	0	0.00000	1.00000	0.00000	0.00000	A
479	0	0.00000	1.00000	0.00000	0.00000	A
480	0	0.00000	1.00000	0.00000	0.00000	A
481	0	0.00000	1.00000	0.00000	0.00000	A
482	0	0.00000	1.00000	0.00000	0.00000	A
483	0	0.00000	1.00000	0.00000	0.00000	A
484	0	0.00000	1.00000	0.00000	0.00000	A
485	0	0.00000	1.00000	0.00000	0.00000	A
486	0	0.00000	1.00000	0.00000	0.00000	A
487	0	0.00000	1.00000	0.00000	0.00000	A
488	0	0.00000	1.00000	0.00000	0.00000	A
489	0	0.00000	1.00000	0.00000	0.00000	A
490	0	0.00000	1.00000	0.00000	0.00000	A
491	0	0.00000	1.00000	0.00000	0.00000	A
492	0	0.00000	1.00000	0.00000	0.00000	A
493	0	0.00000	1.00000	0.00000	0.00000	A
494	0	0.00000	1.00000	0.00000	0.00000	A
495	0	0.00000	1.00000	0.00000	0.00000	A
496	0	0.00000	1.00000	0.00000	0.00000	A
497	0	0.00000	1.00000	0.00000	0.00000	A
498	0	0.00000	1.00000	0.00000	0.00000	A
499	0	0.00000	1.00000	0.00000	0.00000	A
500	0	0.00000	1.00000	0.00000	0.00000	A
