Term	Name	Enrichment
GO:0010453	regulation of cell fate commitment	0.000000e+00
GO:0035137	hindlimb morphogenesis	0.000000e+00
GO:0060433	bronchus development	0.000000e+00
GO:0021537	telencephalon development	0.000000e+00
GO:0055015	ventricular cardiac muscle cell development	0.000000e+00
GO:0045944	positive regulation of transcription by RNA polymerase II	0.000000e+00
GO:0008237	metallopeptidase activity	0.000000e+00
GO:0042698	ovulation cycle	0.000000e+00
GO:1905285	fibrous ring of heart morphogenesis	0.000000e+00
GO:0055117	regulation of cardiac muscle contraction	0.000000e+00
GO:0048708	astrocyte differentiation	0.000000e+00
GO:0072125	negative regulation of glomerular mesangial cell proliferation	0.000000e+00
GO:0031433	telethonin binding	0.000000e+00
GO:0001974	blood vessel remodeling	0.000000e+00
GO:0072200	negative regulation of mesenchymal cell proliferation involved in ureter development	0.000000e+00
GO:0090191	negative regulation of branching involved in ureteric bud morphogenesis	0.000000e+00
GO:0005634	nucleus	0.000000e+00
GO:0010596	negative regulation of endothelial cell migration	0.000000e+00
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	0.000000e+00
GO:1904238	pericyte cell differentiation	0.000000e+00
GO:0032991	protein-containing complex	0.000000e+00
GO:0045765	regulation of angiogenesis	0.000000e+00
GO:0061047	positive regulation of branching involved in lung morphogenesis	0.000000e+00
GO:0030509	BMP signaling pathway	0.000000e+00
GO:0048018	receptor ligand activity	0.000000e+00
GO:0033088	negative regulation of immature T cell proliferation in thymus	0.000000e+00
GO:0072134	nephrogenic mesenchyme morphogenesis	0.000000e+00
GO:0031290	retinal ganglion cell axon guidance	0.000000e+00
GO:0030424	axon	0.000000e+00
GO:0003277	apoptotic process involved in endocardial cushion morphogenesis	0.000000e+00
GO:0060512	prostate gland morphogenesis	0.000000e+00
GO:0048704	embryonic skeletal system morphogenesis	0.000000e+00
GO:0042305	specification of segmental identity, mandibular segment	0.000000e+00
GO:0007512	adult heart development	0.000000e+00
GO:0090336	positive regulation of brown fat cell differentiation	0.000000e+00
GO:0001837	epithelial to mesenchymal transition	0.000000e+00
GO:0003139	secondary heart field specification	0.000000e+00
GO:0032880	regulation of protein localization	0.000000e+00
GO:0014069	postsynaptic density	0.000000e+00
GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway	0.000000e+00
GO:0050679	positive regulation of epithelial cell proliferation	0.000000e+00
GO:0060928	atrioventricular node cell development	0.000000e+00
GO:0005912	adherens junction	0.000000e+00
GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	0.000000e+00
GO:0019904	protein domain specific binding	0.000000e+00
GO:0009897	external side of plasma membrane	0.000000e+00
GO:0061384	heart trabecula morphogenesis	0.000000e+00
GO:0005515	protein binding	0.000000e+00
GO:0032092	positive regulation of protein binding	0.000000e+00
GO:0007179	transforming growth factor beta receptor signaling pathway	0.000000e+00
GO:0001525	angiogenesis	0.000000e+00
GO:0010614	negative regulation of cardiac muscle hypertrophy	0.000000e+00
GO:0010595	positive regulation of endothelial cell migration	0.000000e+00
GO:0060441	epithelial tube branching involved in lung morphogenesis	0.000000e+00
GO:0060896	neural plate pattern specification	0.000000e+00
GO:0048646	anatomical structure formation involved in morphogenesis	0.000000e+00
GO:0008270	zinc ion binding	0.000000e+00
GO:0030316	osteoclast differentiation	0.000000e+00
GO:0060411	cardiac septum morphogenesis	0.000000e+00
GO:0071281	cellular response to iron ion	0.000000e+00
GO:1905295	regulation of neural crest cell fate specification	0.000000e+00
GO:0048661	positive regulation of smooth muscle cell proliferation	0.000000e+00
GO:0071407	cellular response to organic cyclic compound	0.000000e+00
GO:0010594	regulation of endothelial cell migration	0.000000e+00
GO:0034116	positive regulation of heterotypic cell-cell adhesion	0.000000e+00
GO:0007165	signal transduction	0.000000e+00
GO:0016301	kinase activity	0.000000e+00
GO:0060503	bud dilation involved in lung branching	0.000000e+00
GO:0003215	cardiac right ventricle morphogenesis	0.000000e+00
GO:0045296	cadherin binding	0.000000e+00
GO:0060840	artery development	0.000000e+00
GO:0072136	metanephric mesenchymal cell proliferation involved in metanephros development	0.000000e+00
GO:0031012	extracellular matrix	0.000000e+00
GO:0001666	response to hypoxia	0.000000e+00
GO:0030177	positive regulation of Wnt signaling pathway	0.000000e+00
GO:0030335	positive regulation of cell migration	0.000000e+00
GO:1904707	positive regulation of vascular associated smooth muscle cell proliferation	0.000000e+00
GO:0072179	nephric duct formation	0.000000e+00
GO:0045600	positive regulation of fat cell differentiation	0.000000e+00
GO:0042482	positive regulation of odontogenesis	0.000000e+00
GO:0009925	basal plasma membrane	0.000000e+00
GO:0072197	ureter morphogenesis	0.000000e+00
GO:0009986	cell surface	0.000000e+00
GO:0001843	neural tube closure	0.000000e+00
GO:1902731	negative regulation of chondrocyte proliferation	0.000000e+00
GO:0048754	branching morphogenesis of an epithelial tube	0.000000e+00
GO:0003148	outflow tract septum morphogenesis	0.000000e+00
GO:0007283	spermatogenesis	0.000000e+00
GO:0030324	lung development	0.000000e+00
GO:0048715	negative regulation of oligodendrocyte differentiation	0.000000e+00
GO:0007399	nervous system development	0.000000e+00
GO:0051216	cartilage development	0.000000e+00
GO:0060412	ventricular septum morphogenesis	0.000000e+00
GO:0006468	protein phosphorylation	0.000000e+00
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	0.000000e+00
GO:0043407	negative regulation of MAP kinase activity	0.000000e+00
GO:0030902	hindbrain development	0.000000e+00
GO:0003161	cardiac conduction system development	0.000000e+00
GO:0001944	vasculature development	0.000000e+00
GO:0032331	negative regulation of chondrocyte differentiation	0.000000e+00
GO:0060914	heart formation	0.000000e+00
GO:0048839	inner ear development	0.000000e+00
GO:0043068	positive regulation of programmed cell death	0.000000e+00
GO:0005201	extracellular matrix structural constituent	0.000000e+00
GO:0016485	protein processing	0.000000e+00
GO:0002063	chondrocyte development	0.000000e+00
GO:0048339	paraxial mesoderm development	0.000000e+00
GO:0007155	cell adhesion	0.000000e+00
GO:0045214	sarcomere organization	0.000000e+00
GO:0002320	lymphoid progenitor cell differentiation	0.000000e+00
GO:0055020	positive regulation of cardiac muscle fiber development	0.000000e+00
GO:0045603	positive regulation of endothelial cell differentiation	0.000000e+00
GO:0060045	positive regulation of cardiac muscle cell proliferation	0.000000e+00
GO:0035239	tube morphogenesis	0.000000e+00
GO:0005125	cytokine activity	0.000000e+00
GO:0060445	branching involved in salivary gland morphogenesis	0.000000e+00
GO:0001958	endochondral ossification	0.000000e+00
GO:0001541	ovarian follicle development	0.000000e+00
GO:0051091	positive regulation of DNA-binding transcription factor activity	0.000000e+00
GO:0035116	embryonic hindlimb morphogenesis	0.000000e+00
GO:2000007	negative regulation of metanephric comma-shaped body morphogenesis	0.000000e+00
GO:0030949	positive regulation of vascular endothelial growth factor receptor signaling pathway	0.000000e+00
GO:0045601	regulation of endothelial cell differentiation	0.000000e+00
GO:0003252	negative regulation of cell proliferation involved in heart valve morphogenesis	0.000000e+00
GO:0003151	outflow tract morphogenesis	0.000000e+00
GO:0042306	regulation of protein import into nucleus	0.000000e+00
GO:2000726	negative regulation of cardiac muscle cell differentiation	0.000000e+00
GO:0005794	Golgi apparatus	0.000000e+00
GO:0014912	negative regulation of smooth muscle cell migration	0.000000e+00
GO:0006029	proteoglycan metabolic process	0.000000e+00
GO:0060021	roof of mouth development	0.000000e+00
GO:0019208	phosphatase regulator activity	0.000000e+00
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	0.000000e+00
GO:0003223	ventricular compact myocardium morphogenesis	0.000000e+00
GO:0001568	blood vessel development	0.000000e+00
GO:0003177	pulmonary valve development	0.000000e+00
GO:0032915	positive regulation of transforming growth factor beta2 production	0.000000e+00
GO:0032332	positive regulation of chondrocyte differentiation	0.000000e+00
GO:0035054	embryonic heart tube anterior/posterior pattern specification	0.000000e+00
GO:0032348	negative regulation of aldosterone biosynthetic process	0.000000e+00
GO:0060041	retina development in camera-type eye	0.000000e+00
GO:0004888	transmembrane signaling receptor activity	0.000000e+00
GO:0070368	positive regulation of hepatocyte differentiation	0.000000e+00
GO:1905222	atrioventricular canal morphogenesis	0.000000e+00
GO:0009953	dorsal/ventral pattern formation	0.000000e+00
GO:0070700	BMP receptor binding	0.000000e+00
GO:0003085	negative regulation of systemic arterial blood pressure	0.000000e+00
GO:0043583	ear development	0.000000e+00
GO:0016607	nuclear speck	0.000000e+00
GO:0070724	BMP receptor complex	0.000000e+00
GO:0004672	protein kinase activity	0.000000e+00
GO:0060272	embryonic skeletal joint morphogenesis	0.000000e+00
GO:0005524	ATP binding	0.000000e+00
GO:0048738	cardiac muscle tissue development	0.000000e+00
GO:0030182	neuron differentiation	0.000000e+00
GO:0031668	cellular response to extracellular stimulus	0.000000e+00
GO:0060429	epithelium development	0.000000e+00
GO:1900182	positive regulation of protein localization to nucleus	0.000000e+00
GO:0048468	cell development	0.000000e+00
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.000000e+00
GO:0005024	transforming growth factor beta receptor activity	0.000000e+00
GO:0030514	negative regulation of BMP signaling pathway	0.000000e+00
GO:0016020	membrane	0.000000e+00
GO:0003181	atrioventricular valve morphogenesis	0.000000e+00
GO:0043117	positive regulation of vascular permeability	0.000000e+00
GO:0003180	aortic valve morphogenesis	0.000000e+00
GO:0032924	activin receptor signaling pathway	0.000000e+00
GO:0006954	inflammatory response	0.000000e+00
GO:0045606	positive regulation of epidermal cell differentiation	0.000000e+00
GO:0010922	positive regulation of phosphatase activity	0.000000e+00
GO:0001946	lymphangiogenesis	0.000000e+00
GO:0030501	positive regulation of bone mineralization	0.000000e+00
GO:1905069	allantois development	0.000000e+00
GO:0051148	negative regulation of muscle cell differentiation	0.000000e+00
GO:0060485	mesenchyme development	0.000000e+00
GO:0034599	cellular response to oxidative stress	0.000000e+00
GO:0010976	positive regulation of neuron projection development	0.000000e+00
GO:0035912	dorsal aorta morphogenesis	0.000000e+00
GO:0003176	aortic valve development	0.000000e+00
GO:0055009	atrial cardiac muscle tissue morphogenesis	0.000000e+00
GO:1902894	negative regulation of miRNA transcription	0.000000e+00
GO:1903242	regulation of cardiac muscle hypertrophy in response to stress	0.000000e+00
GO:0006703	estrogen biosynthetic process	0.000000e+00
GO:0062023	collagen-containing extracellular matrix	0.000000e+00
GO:0060129	thyroid-stimulating hormone-secreting cell differentiation	0.000000e+00
GO:0007507	heart development	0.000000e+00
GO:0045906	negative regulation of vasoconstriction	0.000000e+00
GO:0055008	cardiac muscle tissue morphogenesis	0.000000e+00
GO:0030855	epithelial cell differentiation	0.000000e+00
GO:0046872	metal ion binding	0.000000e+00
GO:0008283	cell population proliferation	0.000000e+00
GO:0036305	ameloblast differentiation	0.000000e+00
GO:0003150	muscular septum morphogenesis	0.000000e+00
GO:0030154	cell differentiation	0.000000e+00
GO:0005615	extracellular space	0.000000e+00
GO:0070372	regulation of ERK1 and ERK2 cascade	0.000000e+00
GO:0030425	dendrite	0.000000e+00
GO:1904414	positive regulation of cardiac ventricle development	0.000000e+00
GO:0010468	regulation of gene expression	0.000000e+00
GO:0001938	positive regulation of endothelial cell proliferation	0.000000e+00
GO:0060128	corticotropin hormone secreting cell differentiation	0.000000e+00
GO:0048593	camera-type eye morphogenesis	0.000000e+00
GO:0098590	plasma membrane region	0.000000e+00
GO:1900745	positive regulation of p38MAPK cascade	0.000000e+00
GO:0048706	embryonic skeletal system development	0.000000e+00
GO:0001656	metanephros development	0.000000e+00
GO:0042476	odontogenesis	0.000000e+00
GO:0001654	eye development	0.000000e+00
GO:2000065	negative regulation of cortisol biosynthetic process	0.000000e+00
GO:2000636	positive regulation of primary miRNA processing	0.000000e+00
GO:0014898	cardiac muscle hypertrophy in response to stress	0.000000e+00
GO:0007411	axon guidance	0.000000e+00
GO:0035993	deltoid tuberosity development	0.000000e+00
GO:0060037	pharyngeal system development	0.000000e+00
GO:0050680	negative regulation of epithelial cell proliferation	0.000000e+00
GO:0060513	prostatic bud formation	0.000000e+00
GO:0008284	positive regulation of cell population proliferation	0.000000e+00
GO:0006879	intracellular iron ion homeostasis	0.000000e+00
GO:0043025	neuronal cell body	0.000000e+00
GO:0071549	cellular response to dexamethasone stimulus	0.000000e+00
GO:0006355	regulation of DNA-templated transcription	0.000000e+00
GO:1903672	positive regulation of sprouting angiogenesis	0.000000e+00
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	0.000000e+00
GO:0032967	positive regulation of collagen biosynthetic process	0.000000e+00
