NR_046018.2	DDX11L1
NM_001282583.2	MXRA8
XM_017001517.2	MXRA8
NM_001282584.2	MXRA8
XM_017001516.3	MXRA8
NM_001127230.2	AURKAIP1
NM_001127229.2	AURKAIP1
NR_146722.2	CCNL2
NR_146723.2	CCNL2
NR_135154.2	CCNL2
NM_001320155.3	CCNL2
NM_001350500.2	CCNL2
NM_001320153.3	CCNL2
NM_001350498.2	CCNL2
NM_001350499.2	CCNL2
XM_011542216.4	CCNL2
NM_001350497.1	CCNL2
XM_047431297.1	CCNL2
XM_047431301.1	CCNL2
NM_001039577.5	CCNL2
NR_015434.1	MRPL20-AS1
NM_001318485.2	MRPL20
NR_170330.2	MRPL20-DT
NM_001243536.2	ANKRD65
NM_001243535.2	ANKRD65
XM_005244752.5	ANKRD65
XM_006710647.4	ANKRD65
NM_001375660.1	ANKRD65
NM_001375659.1	ANKRD65
XR_946814.2	ANKRD65-AS1
NR_125996.1	LINC01770
NR_125995.1	LINC01770
NR_125994.1	LINC01770
XM_017003066.2	LOC107985729
NM_199121.3	VWA1
XM_005244806.4	ATAD3B
XM_011542244.2	ATAD3B
XM_047431596.1	ATAD3B
XM_047431583.1	ATAD3B
XM_047431588.1	ATAD3B
XM_011542241.4	ATAD3B
XM_047431599.1	ATAD3B
NM_001317238.2	ATAD3B
XM_047431593.1	ATAD3B
XM_047424288.1	ATAD3A
NM_018188.5	ATAD3A
XM_047424289.1	ATAD3A
XM_047424290.1	ATAD3A
NM_001170536.3	ATAD3A
NR_147951.1	LOC105378586
NR_033183.2	MIB2
NR_146324.2	MIB2
XM_047446594.1	MIB2
XM_047446668.1	MIB2
XM_047446726.1	MIB2
XM_047446727.1	MIB2
XM_047446677.1	MIB2
XM_047446729.1	MIB2
XM_047446731.1	MIB2
XM_047446737.1	MIB2
NM_080875.5	MIB2
XM_047446744.1	MIB2
XM_047446735.1	MIB2
NM_001170686.4	MIB2
XM_006710372.2	MIB2
NM_001170688.2	MIB2
XM_047446736.1	MIB2
XM_047446742.1	MIB2
XM_047446738.1	MIB2
XM_047446745.1	MIB2
XM_047446741.1	MIB2
XM_047446743.1	MIB2
XM_047446746.1	MIB2
XM_011540737.4	MIB2
XM_011540741.4	MIB2
XM_011540742.4	MIB2
XM_047446728.1	MIB2
NM_001170689.2	MIB2
XM_047446672.1	MIB2
XM_047446747.1	MIB2
XR_007065352.1	LOC124903821
XM_047432838.1	MMP23B
XM_047432837.1	MMP23B
NM_001291345.2	CDK11B
XM_006711065.5	CDK11B
XM_017002926.3	CDK11B
XM_011542493.4	CDK11B
NM_033487.3	CDK11B
NM_033490.3	CDK11B
NM_001787.3	CDK11B
XM_017002925.3	CDK11B
XM_011542490.4	CDK11B
NM_033489.3	CDK11B
XM_047435361.1	CDK11B
XM_047435330.1	CDK11B
XM_011542492.3	CDK11B
XM_047435328.1	CDK11B
XM_011542491.3	CDK11B
XM_047435362.1	CDK11B
XM_047435360.1	CDK11B
XM_047435355.1	CDK11B
XM_017002928.3	CDK11B
XM_011542494.4	CDK11B
XM_047435367.1	CDK11B
XM_024451190.2	CDK11B
XM_047435363.1	CDK11B
XM_047435371.1	CDK11B
XM_047435369.1	CDK11B
XM_047435368.1	CDK11B
NM_001110781.3	SLC35E2B
NR_002946.1	MMP23A
NR_132739.2	CDK11A
NR_132740.2	CDK11A
NM_033529.4	CDK11A
NM_001313896.2	CDK11A
NM_001313982.2	CDK11A
NR_173244.1	SLC35E2A
NR_173245.1	SLC35E2A
XR_002958243.2	LOC112268218
XR_946747.3	NADK
XM_047428631.1	NADK
XM_011542009.3	NADK
NM_001353641.2	NADK
NM_001198994.2	NADK
NM_001198993.2	NADK
XM_047428656.1	NADK
NM_001353642.2	NADK
NM_001198995.1	NADK
XM_017002144.3	NADK
XM_047428647.1	NADK
XM_047418078.1	GNB1
XM_047418076.1	GNB1
XM_017001061.3	GNB1
NM_001282539.2	GNB1
NM_001282538.2	GNB1
XM_047418072.1	GNB1
XM_017001060.3	GNB1
XM_047418073.1	GNB1
XM_047418070.1	GNB1
XM_047418049.1	GNB1
XM_047418071.1	GNB1
XM_047418061.1	GNB1
XM_047418054.1	GNB1
XM_047418042.1	GNB1
XM_047418059.1	GNB1
XM_047418050.1	GNB1
XM_047418057.1	GNB1
XM_047418044.1	GNB1
XM_047418046.1	GNB1
XM_047418045.1	GNB1
XM_024446495.2	GNB1
XM_047418058.1	GNB1
XM_047418068.1	GNB1
XM_047418056.1	GNB1
XM_047418074.1	GNB1
XM_047418055.1	GNB1
XM_047418062.1	GNB1
XM_047418043.1	GNB1
XM_047418069.1	GNB1
XM_047418063.1	GNB1
XM_047418060.1	GNB1
XM_047418067.1	GNB1
XM_017001059.3	GNB1
NR_168264.1	GNB1-DT
NR_168263.1	GNB1-DT
XR_007065353.1	LOC124903822
XM_005244729.4	CALML6
NM_001330313.2	CALML6
XM_047419240.1	TMEM52
XM_047419237.1	TMEM52
XM_047419236.1	TMEM52
XR_007065354.1	LOC107984872
XR_001737843.3	LOC105378589
XR_001737844.3	LOC105378589
XM_011541194.4	GABRD
XM_017000936.2	GABRD
XR_001737845.3	LOC105378590
XR_007065357.1	LOC105378590
XR_007065356.1	LOC105378590
XR_007061965.1	PRKCZ
XR_007061966.1	PRKCZ
NR_146911.2	PRKCZ
XM_047425255.1	PRKCZ
XM_017001790.2	PRKCZ
XM_017001789.2	PRKCZ
XM_011541773.2	PRKCZ
XM_011541775.4	PRKCZ
XM_017001803.3	PRKCZ
XM_047425262.1	PRKCZ
XM_047425260.1	PRKCZ
NM_001350804.2	PRKCZ
NM_001350806.2	PRKCZ
NM_001350803.2	PRKCZ
NM_001033581.3	PRKCZ
XM_017001792.2	PRKCZ
XM_011541776.2	PRKCZ
NM_001350805.2	PRKCZ
NM_001242874.3	PRKCZ
XM_011541774.2	PRKCZ
XM_047425283.1	PRKCZ
XM_047425323.1	PRKCZ
NM_001033582.3	PRKCZ
XM_024448391.2	PRKCZ
XM_024448396.2	PRKCZ
XM_047425348.1	PRKCZ
XM_047425304.1	PRKCZ
XM_047425340.1	PRKCZ
XM_047425273.1	PRKCZ
XM_017001793.2	PRKCZ
XM_047425307.1	PRKCZ
XM_017001797.2	PRKCZ
XM_024448397.2	PRKCZ
XM_017001802.2	PRKCZ
NR_135509.1	PRKCZ-DT
NR_146290.1	PRKCZ-AS1
NR_046427.2	FAAP20
NM_001146310.2	FAAP20
XM_047448526.1	FAAP20
NM_001256945.2	FAAP20
XM_017000554.3	FAAP20
NM_001282673.2	FAAP20
NM_001282672.2	FAAP20
NM_001282671.2	FAAP20
NM_001282670.2	FAAP20
XM_047448529.1	FAAP20
XM_047448522.1	FAAP20
XM_047448545.1	FAAP20
NM_001256947.2	FAAP20
XM_047448563.1	FAAP20
XM_047448517.1	FAAP20
XM_047448516.1	FAAP20
XM_047448519.1	FAAP20
XM_047448544.1	FAAP20
XM_047448550.1	FAAP20
XM_047448539.1	FAAP20
XM_047448559.1	FAAP20
XM_047448555.1	FAAP20
NM_001256946.2	FAAP20
NR_168005.1	LOC112268219
XR_946826.2	LOC105378593
XR_007065358.1	LOC124903823
XM_005244775.4	SKI
XM_005244776.5	SKI
XM_047428466.1	SKI
XM_017002128.2	SKI
XR_007065362.1	LOC124903824
XR_007065360.1	LOC124903824
XR_007065359.1	LOC124903824
XR_007065361.1	LOC124903824
NR_125361.2	MORN1
NM_001301060.2	MORN1
NR_024489.1	LOC100129534
NR_164636.1	PEX10
NM_001374427.1	PEX10
NM_001374426.1	PEX10
NM_001374425.1	PEX10
NM_153818.2	PEX10
XM_047422539.1	PEX10
XM_011541576.3	PEX10
XM_047435029.1	PLCH2
XM_047435028.1	PLCH2
XM_047435038.1	PLCH2
XM_047435023.1	PLCH2
XM_047435025.1	PLCH2
XM_047435024.1	PLCH2
XM_047435033.1	PLCH2
XM_047435034.1	PLCH2
XM_047435039.1	PLCH2
NM_001303012.2	PLCH2
NM_001303013.1	PLCH2
XR_241034.4	PANK4
XM_047424306.1	PANK4
XM_011541708.4	PANK4
XM_005244751.5	HES5
NR_037844.2	TNFRSF14-AS1
XM_047433419.1	TNFRSF14
XM_047433418.1	TNFRSF14
XM_047433414.1	TNFRSF14
XM_047433412.1	TNFRSF14
XM_047433416.1	TNFRSF14
XM_047433413.1	TNFRSF14
XM_047433422.1	TNFRSF14
XM_006711019.3	TNFRSF14
NM_001297605.2	TNFRSF14
XM_047433421.1	TNFRSF14
XM_047433423.1	TNFRSF14
XM_011542383.3	TNFRSF14
NR_121638.1	LOC100996583
NR_036637.2	PRXL2B
NR_036638.2	PRXL2B
XM_047445405.1	PRXL2B
XM_011540665.2	PRXL2B
NM_001195736.3	PRXL2B
XM_047445406.1	PRXL2B
XM_006710354.4	PRXL2B
NM_001195737.3	PRXL2B
NM_001195738.3	PRXL2B
NM_001195740.3	PRXL2B
NM_001195741.3	PRXL2B
XR_007065384.1	MMEL1-AS1
XR_007065385.1	MMEL1-AS1
XR_946838.2	MMEL1-AS1
XR_946840.2	MMEL1-AS1
XR_007065383.1	MMEL1-AS1
XR_946835.2	MMEL1-AS1
NM_001242672.3	TTC34
XR_946871.2	LOC105378602
XR_946870.2	LOC105378602
XR_946869.2	LOC105378601
XR_946868.2	LOC105378601
XR_002958245.1	LOC112268220
XR_001737864.1	LOC107985732
XR_946867.2	LOC105378600
XR_946866.2	LOC105378600
XR_007065371.1	LOC105378598
XR_007065370.1	LOC105378598
XR_007065372.1	LOC105378598
XR_007065367.1	LOC105378598
XR_007065363.1	LOC105378598
XR_007065364.1	LOC105378598
XR_007065380.1	LOC105378598
XR_007065379.1	LOC105378598
XR_007065378.1	LOC105378598
XR_007065377.1	LOC105378598
XR_007065368.1	LOC105378598
XR_007065366.1	LOC105378598
XR_946844.1	LOC105378598
XR_946846.1	LOC105378598
XR_007065365.1	LOC105378598
XR_007065376.1	LOC105378598
XR_007065375.1	LOC105378598
XR_007065374.1	LOC105378598
XR_007065369.1	LOC105378598
XR_007065373.1	LOC105378598
XR_946858.1	LOC105378598
XR_946859.1	LOC105378598
XR_001737863.1	LOC107984904
XR_946865.1	LOC105378599
XR_946864.1	LOC105378599
XR_007065387.1	LOC124903825
XR_007065386.1	LOC124903825
XR_007065392.1	LOC124903826
XM_047436614.1	LOC124903827
XM_047436598.1	LOC124903827
XM_047436620.1	LOC124903827
XM_047436608.1	LOC124903827
XM_047436611.1	LOC124903827
XM_047436594.1	LOC124903827
XM_047436564.1	LOC124903827
XM_047436584.1	LOC124903827
XM_047436552.1	LOC124903827
XM_047436578.1	LOC124903827
XM_047436547.1	LOC124903827
XM_047436583.1	LOC124903827
XM_047436555.1	LOC124903827
XM_047436574.1	LOC124903827
XM_047436542.1	LOC124903827
XM_047436549.1	LOC124903827
XM_047436539.1	LOC124903827
XM_047436553.1	LOC124903827
XM_047436536.1	LOC124903827
XM_047436544.1	LOC124903827
XM_047436534.1	LOC124903827
XM_047436535.1	LOC124903827
XM_047436568.1	LOC124903827
XM_047436579.1	LOC124903827
XM_047436587.1	LOC124903827
XM_047436592.1	LOC124903827
XM_047436565.1	LOC124903827
XM_047436543.1	LOC124903827
XM_047436566.1	LOC124903827
XM_047436567.1	LOC124903827
XM_047436540.1	LOC124903827
XM_047436541.1	LOC124903827
XM_047436582.1	LOC124903827
NR_015440.1	PRDM16-DT
NR_024371.1	PRDM16-DT
NM_199454.3	PRDM16
NR_036215.1	MIR4251
XR_007065437.1	LOC105378606
XR_001737869.2	LOC107984909
XR_007065436.1	LOC105378605
XR_007065434.1	LOC105378605
XR_007065435.1	LOC105378605
XM_047436627.1	LOC124903828
XR_946874.3	LOC105378604
XR_946876.3	LOC105378604
XR_946873.3	LOC105378604
XR_007065433.1	LOC105378604
XM_017001051.2	ARHGEF16
XM_017001049.2	ARHGEF16
XM_047418009.1	ARHGEF16
XM_024446454.2	ARHGEF16
XM_024446455.2	ARHGEF16
XM_017000533.3	MEGF6
XM_011540886.3	MEGF6
XM_047448229.1	MEGF6
XM_047448217.1	MEGF6
XM_047448220.1	MEGF6
XM_047448204.1	MEGF6
XM_047448232.1	MEGF6
XM_047448228.1	MEGF6
XM_047448221.1	MEGF6
XM_047448205.1	MEGF6
XM_047448215.1	MEGF6
XM_047448251.1	MEGF6
XM_047448242.1	MEGF6
XM_011540887.3	MEGF6
XM_047448255.1	MEGF6
XM_047448245.1	MEGF6
XM_047448238.1	MEGF6
XM_047448247.1	MEGF6
XM_047448239.1	MEGF6
XM_006710406.5	MEGF6
XM_047448256.1	MEGF6
XM_011540888.4	MEGF6
XR_946886.3	LOC105378608
NR_030277.1	MIR551A
XM_047421661.1	WRAP73
XM_005244754.3	WRAP73
XM_047421663.1	WRAP73
XM_017001387.3	WRAP73
NM_001204184.2	TP73
NM_001204185.2	TP73
NM_001204187.2	TP73
NM_001204188.2	TP73
NM_001204186.2	TP73
XM_047429524.1	TP73
XM_047429521.1	TP73
NM_001126240.3	TP73
NM_001126241.3	TP73
NM_001126242.3	TP73
NM_001204190.2	TP73
NM_001204191.2	TP73
NM_001204189.2	TP73
NM_001204192.2	TP73
XR_946888.3	TP73-AS3
XR_946889.3	TP73-AS3
NR_033709.1	TP73-AS1
NR_033710.1	TP73-AS1
NR_033711.1	TP73-AS1
NR_033708.1	TP73-AS1
NR_033712.1	TP73-AS1
XM_047420003.1	SMIM1
NM_001163724.3	SMIM1
NM_001379690.1	SMIM1
NM_001379691.1	SMIM1
XM_047435158.1	CEP104
XM_047435161.1	CEP104
XM_005244815.5	CEP104
XM_024451106.2	CEP104
XM_024451102.2	CEP104
XM_024451104.2	CEP104
XM_024451101.2	CEP104
XM_024451108.2	CEP104
XR_007065439.1	LOC124903829
XR_946563.3	DFFB
XR_946565.2	DFFB
NR_104222.2	DFFB
NR_135152.2	DFFB
NR_135151.2	DFFB
NR_135150.2	DFFB
XR_002959574.2	DFFB
NM_001282669.2	DFFB
XM_017000499.2	DFFB
NM_001320132.2	DFFB
NM_001320136.2	DFFB
XM_017000500.2	DFFB
XM_017000498.3	DFFB
XM_011540865.3	DFFB
XM_011541323.3	C1orf174
XM_047419221.1	C1orf174
NR_024455.1	LINC01134
NR_040065.1	LINC01346
NR_147024.1	LINC01345
NR_027088.1	LINC01777
XR_946894.2	LOC105376674
XR_946895.1	LOC105376674
XR_007067009.1	LOC124904578
NR_147025.1	LINC01646
XM_011541786.3	AJAP1
NM_001042478.2	AJAP1
XR_946900.2	LINC02781
XR_946902.2	LINC02781
XR_007067025.1	LOC124904589
XR_001737878.1	LOC102724429
XR_946904.3	LOC102724429
XR_426643.4	LOC102724429
XR_001737777.1	LINC02782
XR_001737776.1	LINC02782
XR_946906.2	LOC105376682
XR_007067026.1	LOC124904590
XR_001737879.1	LOC107984911
XR_946910.3	LOC105376686
XR_946907.2	LOC105376686
XR_007067027.1	LOC105376686
XR_946909.4	LOC105376686
RF00572	LOC124900451
XR_007065441.1	LOC124903830
XR_007065440.1	LOC124903830
NR_039838.1	MIR4689
NR_111987.2	NPHP4
XR_007058632.1	NPHP4
XM_006710563.4	NPHP4
NM_001291594.2	NPHP4
XM_017000999.2	NPHP4
NM_001291593.2	NPHP4
XM_047417537.1	NPHP4
XM_047417599.1	NPHP4
XM_047417546.1	NPHP4
XM_047417538.1	NPHP4
XM_047417590.1	NPHP4
XM_011541217.3	NPHP4
XM_047417589.1	NPHP4
XM_047417535.1	NPHP4
XM_047417581.1	NPHP4
XM_011541216.3	NPHP4
XM_047417585.1	NPHP4
XM_047417593.1	NPHP4
XM_011541215.2	NPHP4
XM_047417565.1	NPHP4
XM_017000996.2	NPHP4
XM_011541213.2	NPHP4
XM_047417555.1	NPHP4
XM_011541214.2	NPHP4
XM_017001000.3	NPHP4
XM_047417607.1	NPHP4
XM_017001001.2	NPHP4
XM_047417574.1	NPHP4
XM_017000998.1	NPHP4
XM_017001002.2	NPHP4
XM_047417617.1	NPHP4
XM_047432866.1	KCNAB2
XM_047432870.1	KCNAB2
XM_047432872.1	KCNAB2
XM_011542321.4	KCNAB2
NM_001199861.2	KCNAB2
XM_005263514.4	KCNAB2
XM_047432878.1	KCNAB2
XM_011542322.3	KCNAB2
NM_003636.4	KCNAB2
NM_172130.3	KCNAB2
NM_001199860.2	KCNAB2
XM_047432867.1	KCNAB2
XM_017002620.2	KCNAB2
NM_001199863.2	KCNAB2
XR_007065442.1	LOC124903831
NR_125997.1	RNF207-AS1
XR_002956484.2	RNF207
XR_002956486.2	RNF207
XR_001737161.3	RNF207
XR_001737159.3	RNF207
XM_047420010.1	RNF207
XM_011541439.4	RNF207
XM_047420023.1	RNF207
XM_047420029.1	RNF207
XM_047420021.1	RNF207
XM_011541140.3	ICMT
XM_047416592.1	ICMT
NR_103534.1	ICMT-DT
XM_011541434.4	GPR153
XM_017001250.2	GPR153
NM_181864.3	ACOT7
XM_047443399.1	ACOT7
NM_181865.3	ACOT7
NM_181866.3	ACOT7
XM_017002433.2	ESPN
NM_001367474.1	ESPN
NM_001367473.1	ESPN
XM_011542231.1	ESPN
XM_011542232.1	ESPN
XM_011542238.4	ESPN
XM_011542237.1	ESPN
XM_011542233.3	ESPN
XM_047431542.1	ESPN
XM_047431549.1	ESPN
XM_047431551.1	ESPN
XM_011542236.3	ESPN
NR_036218.1	MIR4252
NM_148970.2	TNFRSF25
NM_148967.2	TNFRSF25
NM_148966.2	TNFRSF25
NM_148965.2	TNFRSF25
NM_001039664.2	TNFRSF25
NM_001265594.2	PLEKHG5
NM_001042664.1	PLEKHG5
NM_001042665.1	PLEKHG5
NM_001265593.1	PLEKHG5
NM_198681.4	PLEKHG5
NM_001042663.3	PLEKHG5
NM_001265592.2	PLEKHG5
XM_047430565.1	NOL9
XM_005263493.5	NOL9
XM_047430556.1	NOL9
XM_011542147.4	NOL9
XM_011542206.3	TAS1R1
NM_177540.3	TAS1R1
XM_011542203.2	TAS1R1
XR_002958250.1	LOC107984912
XR_001737881.1	LOC107984912
XM_047418864.1	ZBTB48
XM_047418868.1	ZBTB48
XM_047418867.1	ZBTB48
XM_047418878.1	ZBTB48
NM_001278648.2	ZBTB48
XM_047418869.1	ZBTB48
XM_047418880.1	ZBTB48
NM_001278647.2	ZBTB48
XM_047418870.1	ZBTB48
XM_047418882.1	ZBTB48
XM_047418865.1	ZBTB48
XM_017001111.3	ZBTB48
XM_047418875.1	ZBTB48
XM_047418886.1	ZBTB48
NM_001324309.2	KLHL21
XR_001737882.3	LOC107984913
XM_011540762.2	PHF13
XM_047433628.1	THAP3
NM_001195752.2	THAP3
XM_024450686.2	THAP3
NM_138350.4	THAP3
NM_001394497.1	THAP3
NM_001394498.1	THAP3
NM_001394496.1	THAP3
NM_001394499.1	THAP3
NM_001394500.1	THAP3
XM_011542400.3	THAP3
XM_047424842.1	DNAJC11
NR_104620.1	LINC01672
NR_104621.1	LINC01672
RF01210	LOC124904847
NR_149049.1	CAMTA1-DT
XR_001737064.2	CAMTA1
NR_146203.2	CAMTA1
NR_146202.2	CAMTA1
NR_038934.2	CAMTA1
XR_001737062.2	CAMTA1
XR_007057950.1	CAMTA1
NR_146204.2	CAMTA1
XM_011541084.3	CAMTA1
XM_011541083.3	CAMTA1
XM_011541086.4	CAMTA1
XM_011541090.4	CAMTA1
NM_001349609.2	CAMTA1
NM_001349610.2	CAMTA1
XM_017000778.2	CAMTA1
XM_017000777.2	CAMTA1
XM_011541087.3	CAMTA1
XM_047415997.1	CAMTA1
XM_047416020.1	CAMTA1
XM_011541088.3	CAMTA1
NM_001349608.2	CAMTA1
XM_047415999.1	CAMTA1
NM_001349612.2	CAMTA1
XM_047416005.1	CAMTA1
XM_047416024.1	CAMTA1
XM_017000774.3	CAMTA1
XM_047415993.1	CAMTA1
XM_011541091.3	CAMTA1
XM_011541092.4	CAMTA1
XM_017000780.3	CAMTA1
NM_001242701.2	CAMTA1
NM_001349627.2	CAMTA1
XM_017000781.2	CAMTA1
NM_001195563.2	CAMTA1
XM_047415988.1	CAMTA1
XM_047416009.1	CAMTA1
XM_024454334.1	CAMTA1
NM_001349614.1	CAMTA1
NM_001349620.1	CAMTA1
NM_001349621.1	CAMTA1
NM_001349625.2	CAMTA1
NM_001349623.1	CAMTA1
NM_001349617.1	CAMTA1
XM_024454329.2	CAMTA1
XM_024454330.2	CAMTA1
NM_001349613.1	CAMTA1
NM_001349616.2	CAMTA1
NM_001349615.2	CAMTA1
NM_001349618.2	CAMTA1
NM_001349619.2	CAMTA1
NM_001349622.2	CAMTA1
NM_001349626.2	CAMTA1
NM_001349624.3	CAMTA1
XM_024454332.2	CAMTA1
XM_024454331.2	CAMTA1
XM_024454333.2	CAMTA1
XR_007065449.1	LOC124903832
XM_047436663.1	LOC124900385
NR_146199.1	CAMTA1-AS2
NR_146201.1	CAMTA1-AS2
NR_146200.1	CAMTA1-AS2
XR_946928.3	CAMTA1-AS1
XR_946925.3	CAMTA1-AS1
XR_946926.3	CAMTA1-AS1
XR_001737887.2	LOC105376691
XR_007065446.1	LOC105376689
XR_007065444.1	LOC105376689
XR_001737883.3	LOC105376689
XR_002958252.2	LOC105376689
XR_007065443.1	LOC105376689
XR_946917.3	LOC105376689
XR_007065445.1	LOC105376689
XR_007065447.1	LOC105376689
XM_047433449.1	PER3
XM_047433435.1	PER3
XM_047433457.1	PER3
XM_047433442.1	PER3
XM_047433459.1	PER3
XM_047433453.1	PER3
XM_047433437.1	PER3
XM_047433440.1	PER3
XM_047433473.1	PER3
XM_047433454.1	PER3
XM_047433434.1	PER3
XM_047433446.1	PER3
XM_047433455.1	PER3
XM_047433436.1	PER3
NM_001289861.2	PER3
XM_047433443.1	PER3
XM_047433466.1	PER3
XM_047433447.1	PER3
NM_001289863.3	PER3
NM_001289864.3	PER3
XM_047433438.1	PER3
XM_047433451.1	PER3
NM_016831.4	PER3
XM_005263524.5	PER3
XM_047433448.1	PER3
XM_024450586.2	PER3
XM_047433456.1	PER3
XM_024450587.2	PER3
XM_047433458.1	PER3
NM_001377276.1	PER3
XM_017002723.3	PER3
